Wall time,Step,Value
1579989602.3577812,149200,0.0003936415014322847
1579989882.7986443,150200,0.00039627988007850945
1579990079.0850947,150900,0.00039812675095163286
1579990499.572355,152400,0.00040208431892096996
1579990611.6871197,152800,0.00040313968202099204
1579991284.8270419,155200,0.0004094718024134636
1579991312.8756852,155300,0.0004097356286365539
1579991761.6132543,156900,0.00041395705193281174
1579991789.6410897,157000,0.00041422087815590203
1579992210.2347236,158500,0.00041817844612523913
1579992322.4079335,158900,0.0004192338092252612
1579992574.790933,159800,0.00042160836164839566
1579992771.079421,160500,0.00042345523252151906
1579992799.136547,160600,0.00042371905874460936
1579993163.77253,161900,0.0004271489742677659
1579993416.3128436,162800,0.00042952349758706987
1579993556.5797768,163300,0.00043084268691018224
1579993696.8086646,163800,0.00043216190533712506
1579993780.9684873,164100,0.0004329534131102264
1579993921.175593,164600,0.00043427260243333876
1579994005.3363473,164900,0.0004350641102064401
1579994341.964938,166100,0.00043823017040267587
1579994566.383362,166900,0.00044034086749888957
1579994762.7668154,167600,0.00044218773837201297
1579994959.1318755,168300,0.0004440346092451364
1579995211.4362538,169200,0.0004464091616682708
1579995323.590674,169600,0.0004474645247682929
1579995351.6131501,169700,0.0004477283509913832
1579995379.650568,169800,0.0004479921772144735
1579995435.7641768,170000,0.0004485198587644845
1579995519.8801854,170300,0.0004493113956414163
1579995716.2009168,171000,0.00045115823741070926
1579995968.627004,171900,0.0004535327898338437
1579996249.0723548,172900,0.00045617116848006845
1579996361.242562,173300,0.0004572265315800905
1579996417.3006277,173500,0.00045775421313010156
1579996501.4217863,173800,0.0004585457209032029
1579996641.7331755,174300,0.00045986491022631526
1579996725.8574247,174600,0.0004606564179994166
1579996753.9378846,174700,0.00046092027332633734
1579996781.9613206,174800,0.00046118409954942763
1579997315.16892,176700,0.0004661970306187868
1579997567.8109152,177600,0.00046857158304192126
1579997736.244845,178200,0.0004701545985881239
1579997932.6780558,178900,0.0004720014694612473
1579997960.732317,179000,0.00047226532478816807
1579998213.4245453,179900,0.00047463984810747206
1579998409.9427319,180600,0.00047648671898059547
1579998747.0489836,181800,0.00047965277917683125
1579998999.6369529,182700,0.0004820273315999657
1579999111.9422326,183100,0.00048308269469998777
1579999392.5004632,184100,0.0004857210733462125
1579999504.7544508,184500,0.0004867764364462346
1579999645.0896711,185000,0.00048809562576934695
1579999757.388305,185400,0.000489150988869369
1580000121.9387531,186700,0.0004925808752886951
1580000206.0493453,187000,0.0004933723830617964
1580000374.2678344,187600,0.0004949553986079991
1580000430.3541827,187800,0.0004954831092618406
1580001383.54554,191200,0.0004985154955647886
1580001551.7060225,191800,0.0004979877849109471
1580002028.3471274,193500,0.0004964927211403847
1580002084.4509726,193700,0.0004963168175891042
1580002140.5460465,193900,0.0004961409140378237
1580002308.8700333,194500,0.0004956132615916431
1580002392.993633,194800,0.0004953494062647223
1580002449.1293788,195000,0.0004951735609211028
1580002953.9289606,196800,0.0004935904871672392
1580003346.5692518,198200,0.0004923592787235975
1580003402.6744432,198400,0.000492183375172317
1580003907.723959,200200,0.0004906003596261144
1580004019.953673,200600,0.0004902485525235534
1580004244.3377132,201400,0.0004895449965260923
1580004356.5279815,201800,0.0004891932476311922
1580004636.9375362,202800,0.0004883137880824506
1580004721.0172653,203100,0.0004880499327555299
1580004889.3199117,203700,0.00048752225120551884
1580005562.4751785,206100,0.00048541155410930514
1580005899.1067383,207300,0.00048435619100928307
1580005927.1758394,207400,0.0004842682683374733
1580006011.3078592,207700,0.0004840044130105525
1580006039.3515944,207800,0.0004839164612349123
1580006095.4916875,208000,0.00048374058678746223
1580006151.553716,208200,0.00048356468323618174
1580006263.7867365,208600,0.0004832129052374512
1580006375.9857008,209000,0.00048286112723872066
1580006516.281484,209500,0.00048242139746434987
1580006572.339961,209700,0.00048224549391306937
1580006993.004645,211200,0.000480926304589957
1580007946.8547158,214600,0.0004779361479450017
1580008059.1302733,215000,0.0004775843699462712
1580008115.283182,215200,0.00047740849549882114
1580008255.530756,215700,0.00047696876572445035
1580008508.114963,216600,0.00047617722884751856
1580008732.562952,217400,0.0004754736728500575
1580008844.8446207,217800,0.00047512189485132694
1580009125.2537937,218800,0.00047424243530258536
1580009181.2977154,219000,0.00047406653175130486
1580009237.364618,219200,0.0004738906573038548
1580009265.4325259,219300,0.0004738027055282146
1580009377.609253,219700,0.00047345092752948403
1580009461.7977808,220000,0.0004731870722025633
1580009686.127578,220800,0.0004724835162051022
1580009798.3178158,221200,0.00047213173820637167
